"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28"
"K11";"01";"";"1289817";"";"";"";"";"1289817";"";"20000905";"CH120006418936";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1328547";"";"";"";"";"1328547";"";"20000711";"CH120006343528";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1029123";"";"";"";"";"1029123";"";"20000708";"CH120004180651";"FT";"2";"2";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1050455";"CH110141229412";"BR";"";"";"1050455";"";"20001020";"CH120004212956";"BR";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1737370";"CH110178122366";"BR";"";"";"1018059";"";"20001123";"CH120003198107";"BR";"2";"";"";"";"";"";"";"";"43";"";"";"";"";"";"0"
"K11";"01";"";"1244915";"";"";"";"";"1244915";"";"20000316";"CH120003285920";"BR";"2";"";"";"";"";"";"";"";"42";"";"";"";"";"";"0"
"K11";"01";"";"1636420";"";"";"";"";"1404890";"";"20010122";"CH120002332298";"FT";"1";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1693300";"";"";"";"";"1422016";"";"20010113";"CH120002236725";"FT";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1260953";"";"";"";"";"";"";"19950820";"CH120002241293";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1599527";"";"";"";"";"1494402";"";"20000322";"CH120002430932";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1671322";"";"";"";"";"1317763";"";"20001103";"CH120002468973";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1017373";"";"";"";"";"1017373";"";"20000120";"CH120006919082";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1547238";"CH120006792739";"KR";"";"";"1547238";"";"20000301";"CH120006792760";"KR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1348644";"";"";"";"";"1348644";"";"20000816";"CH120006890824";"HF";"2";"";"";"";"";"";"";"";"48";"";"";"";"";"";"0"
"K11";"01";"";"1326017";"";"";"";"";"1293029";"";"20001007";"CH120006891241";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1293029";"";"";"";"";"1293029";"";"20001224";"CH120006891258";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"1"
"K11";"01";"";"1478600";"";"";"";"";"1478501";"";"20001125";"CH120006896871";"FT";"2";"";"";"";"";"";"";"";"42";"";"";"";"";"";"0"
"K11";"01";"";"1022117";"CH110179218372";"BR";"";"";"1022278";"";"20011106";"CH120006881594";"BR";"1";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1377903";"";"";"";"";"1377903";"";"20000805";"CH120006754768";"FT";"2";"";"";"";"";"";"";"";"50";"";"";"";"";"";"0"
"K11";"01";"";"1479850";"";"";"";"";"1479850";"";"19991214";"CH120006619968";"HF";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1496963";"";"";"";"";"1496963";"";"19991209";"CH120006520264";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1759068";"";"";"";"";"1496963";"";"20001017";"CH120006520615";"HF";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1574135";"";"";"";"";"";"";"19991001";"CH120006436008";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1481389";"";"";"";"";"1481389";"";"20000106";"CH120006463318";"FT";"2";"";"";"";"";"";"";"";"50";"";"";"";"";"";"0"
"K11";"01";"";"1705980";"CH110966051564";"BR";"";"";"1092554";"";"20000817";"CH120006825932";"BR";"2";"";"CH110944052392";"BR";"";"";"";"";"42";"";"";"";"";"";"0"
"K11";"01";"";"1643428";"CH120025333739";"FT";"";"";"1643428";"";"19990915";"CH120001863526";"LI";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1627114";"CH310058171013";"HF";"";"";"1661927";"";"20000220";"CH120001865346";"HF";"2";"";"CH310041033557";"HF";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1755527";"CH515193195782";"HF";"";"";"1755527";"";"20010624";"CH120001688594";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1679212";"";"";"";"";"1309973";"";"20001222";"CH120001593911";"FT";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1360127";"";"";"";"";"1360127";"";"20000209";"CH120001827580";"FT";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1360127";"";"";"";"";"1360127";"";"20000317";"CH120001827603";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1378191";"";"";"";"";"1378207";"";"20010102";"CH120001776529";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1490077";"";"";"";"";"1539929";"";"20000920";"CH120001751885";"FT";"2";"";"";"";"";"";"";"";"31";"";"";"";"";"";"0"
"K11";"01";"";"1538939";"";"";"";"";"1538939";"";"20010520";"CH120003357283";"FT";"2";"";"CH714910071457";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1742633";"CH110601022195";"BR";"";"";"1232073";"";"20011202";"CH120004220883";"KR";"1";"";"CH910805418400";"";"";"";"";"";"50";"";"";"";"";"";"0"
